"size","disease","method","single_retention","none_singleton_retention","single_fraction","none_singleton_fraction"
"100k","covidle","AnchorClusteringPre-VJ",0.428685,0.56084,0.787256900446256,0.209318127559547
"500k","HBsy","AnchorClusteringPost-VJ",0.31918,0.596701,0.787286208308462,0.208246797132836
"500k","HBle","AnchorClusteringPost-VJ",0.092024,0.872422,0.569342704414967,0.426728618095427
"500k","syle","AnchorClusteringPost-VJ",0.353516,0.60398,0.799893201554913,0.193296134891867
"500k","HBcovid","AnchorClusteringPost-VJ",0.284323,0.632617,0.753620691483158,0.242080068703018
"100k","sycovid","AnchorClusteringPre-VJ",0.68702,0.290285,0.866585098197505,0.12765044967772
"100k","syle","AnchorClusteringPre-VJ",0.45138,0.53425,0.808388702831456,0.188127943836524
"500k","sycovid","AnchorClusteringPost-VJ",0.558072,0.366347,0.838546526566325,0.148230789920108
"500k","covidle","AnchorClusteringPost-VJ",0.330732,0.626513,0.780101896405321,0.21160486838381
"100k","HBsy","AnchorClusteringPre-VJ",0.45544,0.50438,0.806816772662049,0.189657921309501
"100k","HBcovid","AnchorClusteringPre-VJ",0.420885,0.544025,0.776755559656732,0.219811756021039
"100k","HBle","AnchorClusteringPre-VJ",0.194745,0.78563,0.617561718118251,0.379774532654712
"1m","HBle","AnchorClusteringPost-VJ",0.0633195,0.8921525,0.556422592763461,0.438555328544124
"100k","syle","AnchorClusteringPost-VJ",0.51197,0.47579,0.849559431160082,0.147876806664122
"100k","HBsy","AnchorClusteringPost-VJ",0.481715,0.48778,0.824995718444939,0.171930125021408
"1m","syle","AnchorClusteringPost-VJ",0.2883855,0.651538,0.777868737491166,0.213663018088246
"100k","HBle","AnchorClusteringPost-VJ",0.216875,0.77236,0.651540414282066,0.346687095368993
"100k","HBcovid","AnchorClusteringPost-VJ",0.45765,0.512345,0.806545416093899,0.190705297663107
"100k","sycovid","AnchorClusteringPost-VJ",0.763225,0.212585,0.905614817803197,0.0885116935818788
"1m","HBcovid","AnchorClusteringPost-VJ",0.2224605,0.6797105,0.725019065683725,0.270152590651623
"1m","HBsy","AnchorClusteringPost-VJ",0.2599435,0.6315395,0.765572102379238,0.229350462314621
"1m","sycovid","AnchorClusteringPost-VJ",0.4653715,0.4302705,0.806750316808443,0.177068616114845
"1m","covidle","AnchorClusteringPost-VJ",0.26427,0.677347,0.751600852650455,0.237914504585343
"100k","covidle","AnchorClusteringPost-VJ",0.49849,0.48919,0.83837602381473,0.158361223700365
"1m","covidle","AnchorClusteringPre-VJ",0.169757,0.745093,0.651153424216155,0.340024242238264
"1m","syle","AnchorClusteringPre-VJ",0.222539,0.677862,0.720210750133903,0.272146644810618
"1m","HBcovid","AnchorClusteringPre-VJ",0.157153,0.70861,0.652175085851826,0.34193200327845
"1m","sycovid","AnchorClusteringPre-VJ",0.3317935,0.51795,0.731836619457354,0.254869632155564
"1m","HBsy","AnchorClusteringPre-VJ",0.2216195,0.629869,0.737036482756327,0.257378030529781
"500k","covidle","AnchorClusteringPre-VJ",0.238717,0.714735,0.691244092846553,0.301800523535953
"500k","syle","AnchorClusteringPre-VJ",0.284466,0.659181,0.74255076443579,0.25105914229704
"1m","HBle","AnchorClusteringPre-VJ",0.04815,0.8793365,0.514247265892003,0.478516960013671
"500k","sycovid","AnchorClusteringPre-VJ",0.433446,0.467944,0.77141407939347,0.217092465540102
"500k","HBle","AnchorClusteringPre-VJ",0.074405,0.86881,0.530899257219102,0.463314044338525
"500k","HBcovid","AnchorClusteringPre-VJ",0.221429,0.675381,0.692318274621135,0.302438429575065
"500k","HBsy","AnchorClusteringPre-VJ",0.281627,0.601496,0.761734619358538,0.233007319091848
