junction_length	tpos	cond_pos	cond_all	cond_neg	test_pos	fpos	norm_mini	size_threshold	cut_off	para_pp	para_pw	radius	sample
12	0	0	0	0	0	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
24	19	19	528	509	30	11	0.6	1000	0.18	10.47	18.696	0.5	M3-1
27	1012	1012	3403	2391	1012	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
30	2244	2244	20706	18462	2316	72	0.6	1000	0.18	10.47	18.696	0.5	M3-1
33	14843	14843	188191	173348	14862	19	0.6	1000	0.18	10.47	18.696	0.5	M3-1
36	7242680	7242680	9894576	2651896	7242696	16	0.6	1000	0.18	10.47	18.696	0.5	M3-1
39	263445	263445	2729616	2466171	265509	2064	0.6	1000	0.18	10.47	18.696	0.5	M3-1
42	35786	35878	2158003	2122125	35930	144	0.6	1000	0.18	10.47	18.696	0.5	M3-1
45	53512	56285	3736011	3679726	53556	44	0.6	1000	0.18	10.47	18.696	0.5	M3-1
48	727790	728177	10776403	10048226	727878	88	0.6	1000	0.18	10.47	18.696	0.5	M3-1
51	440008	443478	10131751	9688273	440381	373	0.6	1000	0.18	10.47	18.696	0.5	M3-1
54	101974	102378	5519503	5417125	102100	126	0.6	1000	0.18	10.47	18.696	0.5	M3-1
57	99569	99788	4837605	4737817	100202	633	0.6	1000	0.18	10.47	18.696	0.5	M3-1
59	0	0	0	0	0	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
60	221007	221616	3573801	3352185	221053	46	0.6	1000	0.18	10.47	18.696	0.5	M3-1
62	0	0	0	0	0	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
63	575585	576491	9748320	9171829	575588	3	0.6	1000	0.18	10.47	18.696	0.5	M3-1
64	0	0	0	0	0	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
66	293126	293128	2492028	2198900	293130	4	0.6	1000	0.18	10.47	18.696	0.5	M3-1
68	10	10	15	5	10	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
69	359718	359725	4045590	3685865	359731	13	0.6	1000	0.18	10.47	18.696	0.5	M3-1
72	75013	75317	1553203	1477886	75013	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
75	18352	18352	328455	310103	18354	2	0.6	1000	0.18	10.47	18.696	0.5	M3-1
76	0	0	0	0	0	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
78	132572	132572	773146	640574	132574	2	0.6	1000	0.18	10.47	18.696	0.5	M3-1
81	5138	5138	36585	31447	5138	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
84	623	623	9730	9107	623	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
87	478	478	6670	6192	478	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
90	305	305	2278	1973	305	0	0.6	1000	0.18	10.47	18.696	0.5	M3-1
3	0	0	0	0	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
6	0	0	0	0	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
24	73	75	3570	3495	73	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
27	6507	6507	43071	36564	6507	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
30	709	716	40755	40039	714	5	0.6	1000	0.1	13.687	16.987	0.5	M4-1
