size,length,ratio,population,random,num,spend
10,48,0.7,100,10,7,0.61
10,48,0.7,100,25,7,0.52
10,48,0.7,100,50,8,0.79
10,48,0.7,100,75,7,0.9
10,48,0.7,100,100,8,1.13
10,48,0.7,250,10,7,0.49
10,48,0.7,250,25,8,0.62
10,48,0.7,250,50,9,0.85
10,48,0.7,250,75,8,0.99
10,48,0.7,250,100,8,1.14
10,48,0.7,500,10,8,0.59
10,48,0.7,500,25,8,0.66
10,48,0.7,500,50,8,0.8
10,48,0.7,500,75,8,0.97
10,48,0.7,500,100,9,1.18
10,48,0.7,750,10,8,0.62
10,48,0.7,750,25,8,0.68
10,48,0.7,750,50,9,0.83
10,48,0.7,750,75,8,0.98
10,48,0.7,750,100,9,1.17
10,48,0.7,1000,10,8,0.63
10,48,0.7,1000,25,8,0.69
10,48,0.7,1000,50,8,0.83
10,48,0.7,1000,75,8,0.98
10,48,0.7,1000,100,9,1.14
10,51,0.7,100,10,6,0.5
10,51,0.7,100,25,7,0.62
10,51,0.7,100,50,8,0.85
10,51,0.7,100,75,8,1.07
10,51,0.7,100,100,8,1.29
10,51,0.7,250,10,7,0.53
10,51,0.7,250,25,7,0.62
10,51,0.7,250,50,7,0.84
10,51,0.7,250,75,8,1.08
10,51,0.7,250,100,7,1.26
10,51,0.7,500,10,7,0.56
10,51,0.7,500,25,7,0.65
10,51,0.7,500,50,8,0.9
10,51,0.7,500,75,8,1.07
10,51,0.7,500,100,8,1.25
10,51,0.7,750,10,8,0.65
10,51,0.7,750,25,8,0.74
10,51,0.7,750,50,8,0.92
10,51,0.7,750,75,8,1.09
10,51,0.7,750,100,8,1.39
10,51,0.7,1000,10,8,0.67
10,51,0.7,1000,25,8,0.76
10,51,0.7,1000,50,8,0.9
10,51,0.7,1000,75,8,1.1
10,51,0.7,1000,100,8,1.3
10,54,0.7,100,10,7,0.67
10,54,0.7,100,25,8,0.8
10,54,0.7,100,50,8,0.97
10,54,0.7,100,75,8,1.23
10,54,0.7,100,100,8,1.47
10,54,0.7,250,10,8,0.69
10,54,0.7,250,25,8,0.81
10,54,0.7,250,50,8,1.0
10,54,0.7,250,75,8,1.23
10,54,0.7,250,100,8,1.53
10,54,0.7,500,10,8,0.76
10,54,0.7,500,25,8,0.83
10,54,0.7,500,50,8,1.05
10,54,0.7,500,75,8,1.28
10,54,0.7,500,100,8,1.44
10,54,0.7,750,10,7,0.63
10,54,0.7,750,25,9,0.97
10,54,0.7,750,50,9,1.05
10,54,0.7,750,75,8,1.25
10,54,0.7,750,100,8,1.48
10,54,0.7,1000,10,8,0.85
10,54,0.7,1000,25,8,0.8
10,54,0.7,1000,50,8,1.04
10,54,0.7,1000,75,9,1.21
10,54,0.7,1000,100,8,1.45
10,57,0.7,100,10,7,0.62
10,57,0.7,100,25,8,0.8
10,57,0.7,100,50,7,0.9
10,57,0.7,100,75,7,1.16
10,57,0.7,100,100,7,1.37
10,57,0.7,250,10,8,0.67
10,57,0.7,250,25,7,0.72
10,57,0.7,250,50,8,0.96
10,57,0.7,250,75,8,1.18
10,57,0.7,250,100,8,1.38
10,57,0.7,500,10,7,0.62
10,57,0.7,500,25,8,0.79
10,57,0.7,500,50,7,0.95
10,57,0.7,500,75,8,1.22
10,57,0.7,500,100,8,1.45
10,57,0.7,750,10,8,0.73
10,57,0.7,750,25,8,0.8
10,57,0.7,750,50,8,1.0
10,57,0.7,750,75,8,1.19
10,57,0.7,750,100,8,1.44
10,57,0.7,1000,10,7,0.64
10,57,0.7,1000,25,8,0.83
10,57,0.7,1000,50,8,0.98
10,57,0.7,1000,75,8,1.16
10,57,0.7,1000,100,8,1.41
10,60,0.7,100,10,6,0.5
10,60,0.7,100,25,6,0.66
10,60,0.7,100,50,6,0.9
10,60,0.7,100,75,6,1.18
10,60,0.7,100,100,6,1.44
10,60,0.7,250,10,6,0.54
10,60,0.7,250,25,6,0.67
10,60,0.7,250,50,6,0.91
10,60,0.7,250,75,6,1.18
10,60,0.7,250,100,6,1.46
10,60,0.7,500,10,6,0.58
10,60,0.7,500,25,6,0.72
10,60,0.7,500,50,6,0.96
10,60,0.7,500,75,6,1.22
10,60,0.7,500,100,6,1.47
10,60,0.7,750,10,6,0.58
10,60,0.7,750,25,6,0.74
10,60,0.7,750,50,6,0.96
10,60,0.7,750,75,6,1.23
10,60,0.7,750,100,6,1.48
10,60,0.7,1000,10,6,0.66
10,60,0.7,1000,25,6,0.75
10,60,0.7,1000,50,6,0.99
10,60,0.7,1000,75,6,1.24
10,60,0.7,1000,100,6,1.52
50,48,0.7,100,10,8,0.67
50,48,0.7,100,25,9,0.76
50,48,0.7,100,50,10,1.03
50,48,0.7,100,75,10,1.16
50,48,0.7,100,100,9,1.38
50,48,0.7,250,10,9,1.13
50,48,0.7,250,25,10,1.02
50,48,0.7,250,50,9,1.11
50,48,0.7,250,75,11,1.27
50,48,0.7,250,100,11,1.47
50,48,0.7,500,10,9,0.74
50,48,0.7,500,25,9,0.81
50,48,0.7,500,50,10,1.0
50,48,0.7,500,75,10,1.18
50,48,0.7,500,100,10,1.35
50,48,0.7,750,10,9,0.85
50,48,0.7,750,25,9,0.88
50,48,0.7,750,50,10,1.03
50,48,0.7,750,75,11,1.25
50,48,0.7,750,100,10,1.38
50,48,0.7,1000,10,10,0.88
50,48,0.7,1000,25,10,0.95
50,48,0.7,1000,50,10,1.14
50,48,0.7,1000,75,10,1.28
50,48,0.7,1000,100,11,1.46
50,51,0.7,100,10,7,0.67
50,51,0.7,100,25,8,0.75
50,51,0.7,100,50,9,1.13
50,51,0.7,100,75,11,1.41
50,51,0.7,100,100,10,1.64
