junction_length	tpos	cond_pos	cond_all	cond_neg	test_pos	fpos	norm_mini	anc_num	cdr3_length	radius	sample
36	1478	1518	1530375	1528857	1553	75	0.6	16	36	0.01	M2-1
36	1477	1518	1530375	1528857	1551	74	0.6	16	36	0.05	M2-1
36	1493	1518	1530375	1528857	1567	74	0.6	16	36	0.1	M2-1
36	1468	1518	1530375	1528857	1543	75	0.6	16	36	0.5	M2-1
36	1414	1518	1530375	1528857	1478	64	0.8	2	36	0.01	M2-1
36	1409	1518	1530375	1528857	1480	71	0.8	2	36	0.05	M2-1
36	1422	1518	1530375	1528857	1509	87	0.8	2	36	0.1	M2-1
36	1382	1518	1530375	1528857	1477	95	0.8	2	36	0.5	M2-1
36	1430	1518	1530375	1528857	1518	88	0.9	2	36	0.01	M2-1
36	35417	38513	3324331	3285818	35448	31	0.9	2	36	0.01	M5-1
36	1423	1518	1530375	1528857	1502	79	0.9	2	36	0.05	M2-1
36	35707	38513	3324331	3285818	35737	30	0.9	2	36	0.05	M5-1
36	1430	1518	1530375	1528857	1518	88	0.9	2	36	0.1	M2-1
36	36915	38513	3324331	3285818	36945	30	0.9	2	36	0.1	M5-1
36	1458	1518	1530375	1528857	1545	87	0.9	2	36	0.5	M2-1
36	36361	38513	3324331	3285818	36382	21	0.9	2	36	0.5	M5-1
36	38144	38513	3324331	3285818	38174	30	0.6	20	36	0.01	M5-1
36	38029	38513	3324331	3285818	38059	30	0.6	20	36	0.05	M5-1
36	38051	38513	3324331	3285818	38081	30	0.6	20	36	0.1	M5-1
36	38392	38513	3324331	3285818	38422	30	0.6	20	36	0.5	M5-1
36	35115	38513	3324331	3285818	35147	32	0.8	3	36	0.01	M5-1
36	33351	38513	3324331	3285818	33379	28	0.8	3	36	0.05	M5-1
36	33737	38513	3324331	3285818	33765	28	0.8	3	36	0.1	M5-1
36	34187	38513	3324331	3285818	34198	11	0.8	3	36	0.5	M5-1
36	36283	38513	3324331	3285818	36315	32	0.5	48	36	0.01	M5-1
36	38175	38513	3324331	3285818	38207	32	0.5	48	36	0.05	M5-1
36	38175	38513	3324331	3285818	38207	32	0.5	48	36	0.1	M5-1
36	38415	38513	3324331	3285818	38445	30	0.5	48	36	0.5	M5-1
36	1321	1518	1530375	1528857	1358	37	0.7	5	36	0.01	M2-1
36	1324	1518	1530375	1528857	1360	36	0.7	5	36	0.05	M2-1
36	1291	1518	1530375	1528857	1340	49	0.7	5	36	0.1	M2-1
36	1311	1518	1530375	1528857	1366	55	0.7	5	36	0.5	M2-1
36	1489	1518	1530375	1528857	1570	81	0.5	50	36	0.01	M2-1
36	1489	1518	1530375	1528857	1570	81	0.5	50	36	0.05	M2-1
36	1489	1518	1530375	1528857	1568	79	0.5	50	36	0.1	M2-1
36	1498	1518	1530375	1528857	1574	76	0.5	50	36	0.5	M2-1
36	34097	38513	3324331	3285818	34122	25	0.7	6	36	0.01	M5-1
36	34554	38513	3324331	3285818	34581	27	0.7	6	36	0.05	M5-1
36	33935	38513	3324331	3285818	33967	32	0.7	6	36	0.1	M5-1
