junction_length	tpos	cond_pos	cond_all	cond_neg	test_pos	fpos	norm_mini	size_threshold	para_pp	para_pw	sample	radius
3	0	0	0	0	0	0	0.5	1000	222.28	25.544	M4-1	0.5
6	0	0	0	0	0	0	0.5	1000	222.28	25.544	M4-1	0.5
24	73	75	3570	3495	73	0	0.5	1000	222.28	25.544	M4-1	0.5
27	6507	6507	43071	36564	6513	6	0.5	1000	222.28	25.544	M4-1	0.5
30	709	716	40755	40039	714	5	0.5	1000	222.28	25.544	M4-1	0.5
33	33957	33984	424581	390597	33957	0	0.5	1000	222.28	25.544	M4-1	0.5
36	4978	4979	458403	453424	4984	6	0.5	1000	222.28	25.544	M4-1	0.5
39	222694	234607	6813586	6578979	222713	19	0.5	1000	222.28	25.544	M4-1	0.5
41	0	0	0	0	0	0	0.5	1000	222.28	25.544	M4-1	0.5
42	74305	74965	8559453	8484488	75444	1139	0.5	1000	222.28	25.544	M4-1	0.5
45	274750	274902	18638565	18363663	274771	21	0.5	1000	222.28	25.544	M4-1	0.5
47	0	0	0	0	0	0	0.5	1000	222.28	25.544	M4-1	0.5
48	211052	212334	24981846	24769512	211460	408	0.5	1000	222.28	25.544	M4-1	0.5
49	0	0	0	0	0	0	0.5	1000	222.28	25.544	M4-1	0.5
50	10	10	15	5	10	0	0.5	1000	222.28	25.544	M4-1	0.5
51	267974	270020	34283340	34013320	267992	18	0.5	1000	222.28	25.544	M4-1	0.5
52	0	0	0	0	0	0	0.5	1000	222.28	25.544	M4-1	0.5
53	0	0	1	1	0	0	0.5	1000	222.28	25.544	M4-1	0.5
54	249514	257003	26335653	26078650	249534	20	0.5	1000	222.28	25.544	M4-1	0.5
56	55	55	55	0	55	0	0.5	1000	222.28	25.544	M4-1	0.5
57	92013	92998	17307786	17214788	92039	26	0.5	1000	222.28	25.544	M4-1	0.5
58	0	0	0	0	0	0	0.5	1000	222.28	25.544	M4-1	0.5
60	172910	174264	15354111	15179847	172911	1	0.5	1000	222.28	25.544	M4-1	0.5
63	89460	90130	11987856	11897726	89514	54	0.5	1000	222.28	25.544	M4-1	0.5
65	0	0	0	0	0	0	0.5	1000	222.28	25.544	M4-1	0.5
66	189002	189660	8704878	8515218	189002	0	0.5	1000	222.28	25.544	M4-1	0.5
67	0	0	0	0	0	0	0.5	1000	222.28	25.544	M4-1	0.5
69	148691	148774	7634278	7485504	148697	6	0.5	1000	222.28	25.544	M4-1	0.5
72	1448191	1449473	11493615	10044142	1448196	5	0.5	1000	222.28	25.544	M4-1	0.5
73	1	1	1	0	1	0	0.5	1000	222.28	25.544	M4-1	0.5
75	18218	18309	962578	944269	18218	0	0.5	1000	222.28	25.544	M4-1	0.5
78	12180	12247	451725	439478	12180	0	0.5	1000	222.28	25.544	M4-1	0.5
81	1988	2002	126756	124754	1988	0	0.5	1000	222.28	25.544	M4-1	0.5
84	5572	5573	52650	47077	5572	0	0.5	1000	222.28	25.544	M4-1	0.5
87	620	621	12403	11782	620	0	0.5	1000	222.28	25.544	M4-1	0.5
90	218	233	4753	4520	218	0	0.5	1000	222.28	25.544	M4-1	0.5
